Date;Team_Home;Team_Away;League;Class_Home;Class_Away;Home_Prediction;Draw_Prediction;Away_Prediction;Odd_Home;Odd_Draw;Odd_Away;Result;_Double result;Goals
2023-01-13;Galatasaray;Hatayapsor;Turquia 1;1;16;74;16;10;1,37;6,05;9,80;Home;Home_Draw;More_Two
2023-01-14;Wolves;West Ham;Inglaterra 1;19;17;33;26;41;2,80;3,40;2,88;Home;Home_Draw;Two
2023-01-14;Vizela;Maritimo;Portugal 1;12;17;42;28;30;1,87;3,55;4,50;Home;Home_Draw;Zero
2023-01-14;Rio Ave;Paços de Ferreira;Portugal 1;8;18;55;25;20;1,98;3,40;4,40;Away;Away_Home;Two
2023-01-14;Vilafranquense;Leixões;Portugal 2;6;11;33;28;40;2,38;3,10;3,13;Home;Home_Draw;Zero
2023-01-14;Real Sociedade;Athletic Bilbao;Espanha 1;3;7;36;28;36;2,54;3,22;3,25;Home;Home_Draw;One
2023-01-14;Braga;Boavista;Portugal 1;2;10;62;22;16;1,34;5,30;11,00;Home;Home_Draw;More_Two
2023-01-15;Oliveirense;B SAD;Portugal 2;14;15;44;26;31;2,20;3,40;3,25;Home;Home_Draw;More_Two
2023-01-15;Chaves;Arouca;Portugal 1;9;7;42;27;31;2,15;3,45;3,60;Draw;Home_Draw;One
2023-01-15;Porto B;Tondela;Portugal 2;8;10;39;27;35;2,10;3,30;3,50;Draw;Home_Draw;More_Two
2023-01-15;Feirense;Académico Viseu;Portugal 2;5;3;40;26;34;2,38;3,20;3,05;Draw;Home_Draw;More_Two
2023-01-15;Tottenham;Arsenal;Inglaterra 1;5;1;33;26;41;3,38;3,85;2,26;Away;Draw_Away;More_Two
2023-01-15;Porto;Famalicão;Portugal 1;3;13;75;16;9;1,19;7,00;19,00;Home;Home_Draw;More_Two
2023-01-15;Farense;Benfica B;Portugal 2;2;7;61;22;17;1,75;3,75;4,40;Home;Home_Draw;More_Two
2023-01-15;Benfica;Sporting;Portugal 1;1;4;52;22;26;1,85;4,00;4,40;Draw;Home_Draw;Two
2023-01-17;Wolves;Liverpool;Inglaterra T;5;10;27;22;51;3,75;3,75;2,14;Away;Draw_Away;One
2023-01-17;Nápoles;Cremonese;Itália T;4;8;61;19;20;1,30;6,50;12,00;Draw;Home_Draw;Two
2023-01-17;Alavés;Sevilha;Espanha T;2;4;30;28;43;4,05;3,50;2,06;Away;Draw_Away;Two
2023-01-18;Anderlecht;Zulte Waregem;Belgica 1;12;17;65;21;15;1,61;4,60;6,00;Away;Away_Home;More_Two
2023-01-18;Crystal Palace;Manchester United;Inglaterra 1;12;4;29;25;46;4,70;4,00;1,87;Draw;Draw_Away;Two
2023-01-18;Cercle Brugge;Union Saint-Gilloise;Belgica 1;10;2;26;23;50;3,70;3,60;2,10;Draw;Draw_Away;More_Two
2023-01-18;Kortrijk;Seraing;Belgica 1;6;9;43;26;31;1,85;4,00;4,60;Home;Home_Draw;More_Two
2023-01-18;Milan;Inter;Itália ST;6;5;40;20;40;2,98;3,54;2,60;Away;Draw_Away;One
2023-01-18;Athletic Bilbau;Espanyol;Espanha T;4;5;59;24;17;1,63;4,00;6,50;Home;Home_Draw;More_Two
2023-01-19;Atalanta;Spezia;Itália T;10;4;58;21;21;1,42;5,10;8,00;Home;Home_Draw;More_Two
2023-01-19;St. Truiden;Club Brugge;Belgica 1;8;4;34;27;39;3,70;3,56;2,18;Draw;Draw_Away;More_Two
2023-01-19;Lázio;Bolonha;Itália T;7;10;56;22;22;1,93;3,66;4,75;Home;Home_Draw;Two
2023-01-19;Juventus;Monza;Itália T;5;6;51;24;25;1,55;4,45;7,00;Home;Home_Draw;More_Two
2023-01-19;Manchester City;Tottenham;Inglaterra 1;2;5;68;17;15;1,36;5,00;8,50;Home;Home_Draw;More_Two
2023-01-21;Paços de Ferreira;Braga;Portugal 1;18;2;19;22;59;7,40;4,80;1,48;Away;Draw_Away;More_Two
2023-01-21;Santa Clara;Benfica;Portugal 1;16;1;8;16;76;11,50;5,90;1,32;Away;Draw_Away;More_Two
2023-01-21;Mafra;Trofense;Portugal 2;13;17;55;24;21;1,62;4,00;5,50;Home;Home_Draw;Two
2023-01-21;Crystal Palace;Newcastle;Inglaterra 1;12;4;31;26;43;4,70;3,65;1,95;Draw;Draw_Away;Two
2023-01-21;Leixões;Oliveirense;Portugal 2;11;12;42;26;31;2,05;3,50;3,60;Away;Away_Home;One
2023-01-21;Guimarães;Porto;Portugal 1;6;3;14;21;65;8,60;4,80;1,44;Away;Draw_Away;More_Two
2023-01-22;Maritimo;Estoril;Portugal 1;17;13;38;28;34;2,56;3,20;3,35;Home;Home_Draw;More_Two
2023-01-22;Famalicão;Rio Ave;Portugal 1;14;10;44;27;29;2,24;3,25;3,50;Draw;Home_Draw;More_Two
2023-01-22;Tondela;Farense;Portugal 2;10;2;45;26;29;2,88;3,20;2,55;Home;Away_Home;One
2023-01-22;Benfica B;Porto B;Portugal 2;8;7;35;25;39;2,63;3,48;2,63;Draw;Away_Home;More_Two
