"filename", "language", "Python", "Markdown", "JSON", "Log", "JavaScript", "CSS", "TypeScript", "JSON with Comments", "TypeScript JSX", "XML", "HTML", "PowerShell", "MS SQL", "Shell Script", "YAML", "comment", "blank", "total"
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251109_020001.log", "Log", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251109_140001.log", "Log", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251109_225311.log", "Log", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251109_225324.log", "Log", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251109_225356.log", "Log", 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 43
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251109_232052.log", "Log", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_000226.log", "Log", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_003537.log", "Log", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_020002.log", "Log", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_140002.log", "Log", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_170913.log", "Log", 0, 0, 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_180614.log", "Log", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_181453.log", "Log", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_182526.log", "Log", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_183117.log", "Log", 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 31
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_184026.log", "Log", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_185047.log", "Log", 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_192844.log", "Log", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_200744.log", "Log", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 52
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_201628.log", "Log", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_203248.log", "Log", 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_203657.log", "Log", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251110_222622.log", "Log", 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251111_020002.log", "Log", 0, 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 53
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251111_140003.log", "Log", 0, 0, 0, 59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 60
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251111_210311.log", "Log", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251111_210626.log", "Log", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251111_212413.log", "Log", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Bobby\Desktop\sports\logs\hourly_pipeline_20251111_212935.log", "Log", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
